"tax_cat","tax_cat_desc"
"EQ","EQUIPMENT"
"ET","EXCISE TAX"
"F0","FUEL - 10"
"F1","FUEL - 1"
"F2","FUEL - 2"
"F3","FUEL - 3"
"F4","FUEL - 4"
"F5","FUEL - 5"
"F6","FUEL - 6"
"F7","FUEL - 7"
"F8","FUEL - 8"
"F9","FUEL - 9"
"FF","FLAT FEE"
"G1","GEORGIA LOCAL OPTION"
"G2","GEORGIA EDUCATIONAL"
"G3","GEORGIA SPECIAL PURPOSE"
"G4","GEORGIA OTHER LOCAL TAXES"
"G5","GEORGIA MARTA"
"G6","GEORGIA HOMESTEAD"
"G7","TRANSPORTATION SPECIAL LOCAL OPTION SALES TAX"
"H1","SUPER INCREASED RATE SUPPLY"
"H2","SUPER SUPER INCREASED RATE SUPPLY"
"H3","SUPER SUPER SUPER INCREASED RATE SUPPLY"
"H4","SUPER SUPER SUPER SUPER INCREASED RATE SUPPLY"
"H5","SUPER SUPER SUPER SUPER SUPER INCREASED RATE SUPPLY"
"J1","JUNK FOOD"
"J2","JEWELRY"
"L1","SUPER REDUCED RATE SUPPLY"
"L2","SUPER SUPER REDUCED RATE SUPPLY"
"M1","MARIJUANA RETAIL"
"M2","MARIJUANA MEDICAL"
"M3","MARIJUANA WHOLESALE"
"M4","MARIJUANA MEDICAL WHOLESALE"
"MA","MILEAGE APPORTIONMENT"
"MT","MATTRESS"
"N1","NATIVE AMERICAN"
"N2","NATIVE AMERICAN 2"
"N3","NATIVE AMERICAN 3"
"P1","SPLIT PARENT HAVING STANDALONE TAXABILITY"
"R1","REMOTE RETAIL SALES"
"R2","REMOTE FOOD SALES"
"RS","RETAIL SERVICES"
"T1","TIER 7 - UTILITIES"
"T2","PRECIOUS METALS"
"T3","COINS"
"T4","TIRE FEE"
"T5","TIRE FEE 2"
"T6","TIRE FEE 3"
"T7","TOBACCO AND VAPOR PRODUCTS 2"
"TS","PREPAID TELECOMM SERVICES"
"V1","VOIP"
"VA","VAT ADDITIONAL RATE 3"
"VB","VAT ADDITIONAL RATE 4"
"VC","VAT ADDITIONAL RATE 5"
"VD","DOMESTIC REVERSE CHARGE"
"VE","EXEMPT SUPPLY"
"VG","VAT GENERAL MERCHANDISE"
"VH","INCREASED RATE SUPPLY"
"VL","REDUCED RATE SUPPLY"
"VO","CROSS-BORDER ZERO-RATING SUPPLY"
"VP","VIDEO PROGRAMMING"
"VS","GENERAL SERVICE"
"VX","VAT ADDITIONAL RATE"
"VY","VAT ADDITIONAL RATE 2"
"VZ","ZERO-RATING SUPPLY"
